Max_Phase,Polar Surface Area,HBA,HBD,#RO5 Violations,QED Weighted,CX LogP,CX LogD,Heavy Atoms
0,99.35,4,3,0,0.67,1.76,1.75,20
0,76.82,4,2,0,0.78,3.37,3.11,21
0,87.45,8,2,0,0.39,3.57,1.65,33
0,108.39,4,3,0,0.36,4.44,1.21,34
0,61.94,6,0,0,0.58,2.53,2.53,24
0,92.59,6,3,0,0.47,3.78,3.78,27
0,65.94,7,0,1,0.28,5.27,5.27,35
0,77.55,8,0,0,0.54,3.86,3.85,29
0,45.23,3,1,0,0.83,-0.33,-3.04,18
0,142.52,9,2,0,0.54,2.53,2.53,29
0,65.54,5,1,1,0.44,5.16,5.16,33
0,137.38,6,6,1,0.2,0.83,-3.0,30
0,122.9,7,2,0,0.61,4.08,0.65,29
0,77.25,5,1,0,0.79,3.14,3.14,23
0,83.28,5,2,0,0.84,0.48,0.48,24
0,107.06,7,1,1,0.37,3.84,3.84,37
0,50.36,2,2,1,0.62,4.82,4.82,27
0,94.58,5,4,0,0.31,2.93,2.14,31
0,77.57,5,2,0,0.48,3.76,1.29,34
0,132.44,8,4,0,0.55,-0.85,-0.86,21
0,75.99,5,2,0,0.49,3.32,3.31,23
0,73.47,5,1,0,0.74,3.53,3.53,25
0,102.99,9,1,1,0.45,4.27,4.27,37
0,90.63,9,1,2,0.11,6.83,5.36,36
0,153.94,8,2,2,0.13,7.63,6.69,47
0,161.63,9,3,1,0.29,0.96,0.96,39
0,353.72,14,9,3,0.07,-5.26,-5.26,66
0,64.64,5,2,1,0.28,5.51,5.51,32
0,59.04,6,0,0,0.56,3.05,3.05,26
0,55.12,1,2,0,0.72,1.19,1.19,12
0,59.06,5,1,1,0.33,6.17,5.62,29
0,53.01,5,1,0,0.78,4.0,3.98,29
0,78.87,4,2,0,0.66,3.01,2.92,24
0,36.44,3,0,0,0.75,3.79,3.72,27
0,46.92,3,1,0,0.94,3.87,3.87,21
0,83.83,5,2,0,0.49,6.59,6.54,30
0,79.29,5,2,0,0.29,-0.21,-0.21,20
0,41.99,2,1,1,0.63,5.13,5.13,24
0,35.53,3,0,0,0.43,5.4,5.4,23
0,45.48,5,1,1,0.25,5.28,4.97,24
0,92.5,3,2,0,0.88,1.11,1.11,24
0,55.89,4,1,2,0.4,5.15,3.44,40
0,43.09,2,1,0,0.43,4.71,4.71,23
0,104.19,7,1,2,0.24,3.9,4.16,52
0,20.31,3,0,1,0.36,6.65,6.65,26
0,77.76,3,3,1,0.4,5.34,2.65,34
0,29.27,3,0,0,0.84,3.91,3.48,21
0,87.74,4,2,0,0.41,3.67,3.66,34
0,158.24,9,3,2,0.18,2.33,2.13,51
0,110.71,6,4,0,0.42,3.33,3.33,32
0,92.87,6,1,1,0.25,3.22,1.37,34
0,44.02,2,1,0,0.7,1.8,1.8,13
0,63.83,5,1,0,0.71,2.84,2.84,18
0,58.12,5,1,0,0.58,3.8,2.51,26
0,34.89,5,0,0,0.64,3.66,3.66,21
0,89.43,5,2,0,0.44,2.72,2.72,34
0,59.08,4,0,0,0.77,3.99,3.99,28
0,74.44,5,1,2,0.45,5.99,5.91,33
0,53.93,3,2,0,0.29,4.81,4.55,32
0,66.4,3,2,0,0.54,4.79,4.16,25
0,90.46,5,4,2,0.19,5.29,5.29,41
0,49.85,5,0,0,0.66,-0.85,-0.93,18
0,46.92,3,1,0,0.5,3.36,3.36,21
0,171.31,8,5,0,0.39,-1.62,-5.14,20
0,82.97,5,1,1,0.51,4.15,4.15,39
0,50.36,3,2,1,0.35,6.73,6.73,34
0,50.46,3,1,0,0.68,0.97,2.71,24
0,117.58,6,3,0,0.68,-0.34,-0.46,28
0,106.69,6,2,0,0.63,3.62,3.45,27
0,101.41,7,2,0,0.48,3.78,3.78,25
0,105.05,3,3,0,0.68,2.37,2.37,23
0,51.16,5,1,0,0.65,4.55,4.08,30
0,98.36,7,2,0,0.75,2.85,1.89,24
0,69.62,6,1,0,0.59,2.18,2.18,21
0,82.0,4,2,0,0.65,-0.04,-0.98,21
0,100.31,6,1,0,0.62,2.22,2.22,29
0,95.12,6,2,0,0.77,3.3,3.3,26
0,42.68,5,0,1,0.34,5.29,5.29,32
0,85.97,6,1,0,0.76,2.72,2.72,29
0,71.97,6,0,0,0.8,1.83,1.78,25
0,58.37,5,1,0,0.89,1.31,0.36,22
0,62.3,4,1,0,0.94,2.58,2.47,22
0,64.8,5,0,0,0.7,3.42,3.42,27
0,48.03,4,0,0,0.5,4.08,4.08,23
0,94.08,5,2,0,0.33,2.18,-0.39,22
0,148.05,10,4,0,0.49,-0.11,-0.11,32
0,119.65,5,4,0,0.65,-1.31,-1.31,27
0,29.1,3,1,0,0.66,3.96,3.96,18
0,122.75,9,2,1,0.27,3.57,2.41,40
0,6.48,2,0,1,0.35,6.58,3.56,26
0,45.75,2,1,0,0.73,3.97,3.97,21
0,159.98,5,4,0,0.15,-0.01,-0.14,35
0,97.12,5,2,0,0.6,1.6,1.6,27
0,109.9,8,1,0,0.46,3.58,3.02,31
0,118.2,4,4,0,0.44,1.7,-3.12,25
0,95.16,4,2,0,0.69,3.44,2.5,29
0,45.67,4,0,0,0.84,0.72,0.66,22
0,33.2,2,0,0,0.75,3.9,3.9,25
0,80.04,4,3,1,0.71,3.69,3.64,24
0,59.91,4,1,0,0.61,2.86,2.86,23
0,70.83,4,2,0,0.52,5.25,4.98,26
0,77.82,4,2,0,0.71,2.0,1.81,14
0,110.64,7,2,0,0.77,1.58,1.14,24
0,110.75,7,3,2,0.24,4.93,4.93,37
0,67.43,3,2,0,0.7,1.9,1.9,21
0,71.74,5,1,0,0.79,0.24,0.23,22
0,13.14,2,0,0,0.57,4.0,4.0,18
0,46.06,2,2,0,0.88,2.39,2.39,19
0,164.56,10,5,0,0.36,-0.48,-0.48,27
0,59.29,5,1,0,0.54,3.69,3.69,26
0,92.09,5,1,0,0.86,0.73,0.73,25
0,90.66,6,1,0,0.45,4.55,3.74,33
0,74.17,5,1,0,0.53,5.02,5.02,26
0,84.72,5,0,0,0.63,1.23,1.23,30
0,38.33,3,1,0,0.79,2.15,-0.94,17
0,91.21,4,5,0,0.24,4.31,1.03,35
0,116.28,6,3,0,0.39,5.33,4.48,32
0,59.81,4,1,0,0.89,2.77,2.77,23
0,131.21,5,2,0,0.59,-0.18,-0.18,18
0,69.36,7,0,1,0.35,3.92,3.68,37
0,69.3,4,1,0,0.66,2.42,2.42,31
0,74.68,3,1,0,0.83,0.27,-2.58,16
0,16.13,2,0,1,0.31,7.83,7.59,30
0,22.27,2,1,0,0.73,4.35,3.87,24
0,20.31,2,0,0,0.66,3.34,3.34,16
0,50.69,4,1,1,0.26,8.76,8.76,32
0,56.13,2,1,0,0.84,1.45,1.45,16
0,56.51,4,0,0,0.81,4.89,4.89,23
0,130.48,7,3,2,0.3,5.52,2.1,37
0,112.82,7,2,1,0.62,1.65,1.65,37
0,109.34,8,2,2,0.24,5.35,5.05,42
0,38.33,3,1,0,0.73,4.5,1.74,25
0,122.27,9,0,2,0.18,4.95,4.95,47
0,75.63,3,2,0,0.68,4.56,1.48,29
0,32.34,2,1,1,0.71,5.64,5.21,30
0,55.63,6,1,1,0.3,6.33,6.33,34
0,88.77,6,0,0,0.49,4.47,4.47,36
0,63.58,4,1,0,0.67,1.94,1.94,20
0,75.19,6,1,0,0.71,4.4,4.4,25
0,70.23,3,3,0,0.41,-1.17,-1.28,11
0,70.42,3,2,0,0.76,4.74,1.58,24
0,90.29,8,1,2,0.2,6.51,6.62,37
0,26.71,3,1,0,0.8,3.02,1.45,24
0,36.44,3,0,2,0.23,6.75,4.97,38
0,79.04,4,3,0,0.58,3.12,2.71,21
0,106.82,6,0,0,0.51,2.06,2.06,28
0,110.0,7,3,0,0.34,3.12,3.12,30
0,93.17,7,0,2,0.11,1.97,1.97,38
0,61.02,3,2,0,0.91,1.44,0.02,22
0,57.65,5,0,0,0.53,3.44,3.44,24
0,48.99,4,1,0,0.88,2.71,2.68,20
0,68.29,4,1,0,0.89,2.02,2.02,21
0,57.01,5,0,0,0.68,2.77,2.77,20
0,110.13,7,2,0,0.41,3.62,3.62,35
0,82.81,6,0,0,0.72,2.05,2.05,26
0,81.31,6,0,1,0.23,3.44,1.37,39
0,32.78,4,0,0,0.78,3.95,3.57,23
0,72.47,4,1,0,0.53,0.73,0.73,16
0,55.73,3,0,0,0.61,3.15,3.15,18
0,71.84,5,2,0,0.6,3.79,1.72,27
0,59.72,5,0,0,0.83,1.88,1.88,28
0,109.89,9,1,2,0.19,5.22,3.4,47
0,151.62,10,4,1,0.26,1.77,1.76,40
0,24.06,2,2,0,0.71,1.58,-0.71,13
0,63.6,4,1,2,0.29,7.24,7.24,38
0,29.85,3,1,0,0.71,2.05,2.01,15
0,100.13,6,3,0,0.58,0.06,-1.79,27
0,109.82,6,1,0,0.88,0.32,-3.14,23
0,162.0,8,6,1,0.4,0.38,0.19,28
0,95.77,10,1,2,0.24,4.66,3.94,41
0,101.45,6,2,0,0.81,-0.78,-0.77,27
0,123.62,7,2,0,0.33,2.29,2.29,21
0,64.11,5,1,1,0.31,6.17,6.17,31
0,57.25,2,2,0,0.64,2.31,2.31,19
0,63.6,4,1,0,0.53,1.85,1.85,19
0,20.31,2,0,0,0.57,3.14,2.67,16
0,40.62,2,0,0,0.81,3.12,3.12,26
0,112.39,5,3,0,0.45,0.86,-1.85,23
0,72.68,5,1,0,0.7,2.62,2.62,21
0,75.01,3,2,0,0.9,1.52,1.01,20
0,79.05,6,2,0,0.6,0.45,0.31,29
0,69.14,3,3,1,0.45,4.78,4.16,23
0,33.2,3,0,0,0.76,3.61,2.03,22
0,207.4,11,5,2,0.04,3.34,3.25,48
0,125.79,7,3,0,0.45,-1.24,-1.27,27
0,90.93,6,1,0,0.25,4.25,4.25,30
0,102.66,9,1,0,0.41,4.86,4.86,32
0,49.33,2,2,0,0.78,3.57,3.55,19
0,95.1,5,2,0,0.27,1.75,1.75,25
0,98.2,6,2,1,0.37,4.39,4.37,35
0,33.2,2,0,1,0.35,5.02,5.02,24
0,20.23,1,1,0,0.68,6.18,6.18,23
0,66.84,4,1,0,0.65,4.42,1.09,28
0,60.67,4,1,1,0.34,0.41,0.41,34
0,75.24,6,1,0,0.57,5.16,5.16,27
0,89.95,5,2,0,0.42,-0.09,-0.1,20
0,122.21,8,4,0,0.59,-1.24,-1.24,20
0,118.22,5,5,1,0.37,2.98,0.29,36
0,65.12,3,3,0,0.7,0.92,-0.4,18
0,57.53,2,2,0,0.55,0.47,-2.41,10
0,86.79,4,3,0,0.78,2.46,1.84,26
0,55.56,3,1,0,0.7,4.11,4.11,23
0,78.03,6,1,1,0.39,4.82,4.82,36
0,108.1,8,1,0,0.56,2.55,2.54,23
0,40.46,2,2,1,0.42,6.12,6.12,32
0,158.6,8,3,1,0.29,1.86,-1.03,41
0,79.89,5,2,0,0.29,3.77,2.96,18
0,143.89,9,2,1,0.22,3.07,0.56,41
0,86.56,9,1,0,0.34,3.16,1.41,36
0,123.41,6,3,0,0.49,3.02,2.96,31
0,101.3,6,2,0,0.45,2.86,1.99,29
0,85.38,7,0,2,0.35,5.5,4.97,44
0,56.86,7,1,1,0.28,4.95,4.64,42
0,26.71,3,1,0,0.63,4.99,2.85,30
0,67.92,5,2,2,0.33,4.88,2.32,43
0,81.16,5,1,0,0.57,2.32,2.32,28
0,72.47,4,1,0,0.77,3.01,2.07,28
0,54.88,4,1,1,0.28,6.15,6.12,33
0,100.62,4,3,0,0.49,2.02,-1.03,29
0,121.0,9,1,0,0.6,0.61,0.61,27
0,101.42,7,1,0,0.68,3.86,3.86,23
0,63.05,5,1,0,0.7,2.92,2.14,31
0,0.0,0,0,0,0.0,0.0,0.0,0
